Date,Feedback,Sentiment,Key Theme
2024-07-16,aplikasi terlalu susah buat bingung ada update waktu nyata kartu kredit,Negative,UI/UX and Usability
2024-07-16,transaksi langsung debet pemberitahuan lebih,Negative,Features and Promotion
2024-07-16,terkadang transaksi gagal dana tetap debit harus urus manual kembali dana jaring internet kurang stabil kerja aplikasi sangat lambat banding aplikasi bank,Negative,Reliability
2024-07-16,terlalu banyak promo,Neutral,Features and Promotion
2024-07-16,kta tolak jelas,Negative,Services
2024-07-16,cari atm susah,Negative,Services
2024-07-16,kurang mudah cari atm,Negative,Services
2024-07-16,kalo ambil uang sedia banyak mesin atm,Negative,Services
2024-07-16,aplikasi lambat hapus notifikasi satusatu,Negative,Ease and Speed
2024-07-16,kalo ambil uang sedia banyak mesin atm buku tabung ada,Negative,Services
2024-07-16,kalo ambil uang sedia banyak mesin atm buku tabung ada kebihan bunga ringan beri fasilitas kredit jamin,Negative,Services
2024-07-16,kalo ambil uang sedia banyak mesin atm buku tabung ada kebihan bunga ringan beri fasilitas kredit jamin customer puas banyak program promo,Negative,Services
2024-07-16,kalo ambil uang sedia banyak mesin atm buku tabung kebihan bunga ringan beri fasilitas kredit jamin customer puas banyak program promo beri banyak fasilitas ada mobile perban mudah langgan lebih tingkat,Negative,Services
2024-07-16,baru akhir perlu banyak tindak tambah pilih mata uang transfer kartu multivaluta mata uang default selalu bukan idr ganggu,Negative,UI/UX and Usability
2024-07-16,nyata isi transaksi ada saldo,Negative,Features and Promotion
2024-07-16,keluh kartu kredit call center pakai media wa sekarang pakai pulsa,Negative,Services
2024-07-16,bagi besar staf daerah tidak guna,Negative,Services
2024-07-16,logika desain uf,Negative,UI/UX and Usability
2024-07-16,mudah aju kta,Negative,Services
2024-07-16,uang tipu akun dan bank tolak tanggung jawab beri umpan balik lapor atau laku lidi apa hadap terima milik akun bri,Negative,Reliability
2024-07-17,bebas antar bank,Positive,Features and Promotion
2024-07-17,aplikasi bagus,Positive,General
2024-07-17,suka ngambil,Negative,Reliability
2024-07-17,mohon kurang loading tuju proses transaksi,Negative,Ease and Speed
2024-07-17,loading terlalu lama masuk menu transfer lalu jenjang tumpuk jadi proses lebih lama kalau menu transfer langsung bank tuju,Negative,UI/UX and Usability
2024-07-17,rekening koran belum kirim ke rumah belakang sudah lama kirim padahal biaya cukup besar,Negative,Services
2024-07-17,layan kait edc perlu tingkat sering alami kendala kait bayar edc permata belanja,Negative,Services
2024-07-17,sangat mudah guna,Positive,General
2024-07-17,beli token beli pulsa bayar pln dulu gratis admin kok sekarang biaya admin,Negative,Fees and Rates
2024-07-17,terlalu rumit tidak ramah guna,Negative,UI/UX and Usability
2024-07-17,izin urus kta,Negative,Services
2024-07-17,semua baik,Positive,General
2024-07-17,lebih tingkat kualitas sistem,Negative,Reliability
2024-07-17,saya pernah masalah perban,Positive,General
2024-07-17,cashback promo batas serta,Negative,Features and Promotion
2024-07-17,aplikasi terlalu lambat,Negative,Ease and Speed
2024-07-17,aplikasi berat loading lama bisa satset terus tombol juga tekan tombol atas pojok kiri atas bisa hilang tombol umum juga fitur transfer normal saldo tampil,Negative,UI/UX and Usability
2024-07-17,sering jadi salah,Negative,Reliability
2024-07-17,mudah lag lambat keluar sendiri,Negative,Ease and Speed
2024-07-17,lama muat masuk aplikasi,Negative,Ease and Speed
2024-07-17,tagih tagih kartu kredit update waktu nyata kecewa,Negative,Features and Promotion
2024-07-17,permata the best banget layan akan lain hati pokok kalau aplikasi mobile perban lebih fast responin lah makasih banyak,Positive,Services
2024-07-17,yang tadi kartu warna merah kena biaya transaksi tentu sekarang kena,Negative,Fees and Rates
2024-07-17,jual valas antar rekening sendiri batas terlalu kecil beli beli juta yen masa ingin jual juta yen bisa,Negative,Features and Promotion
2024-07-17,masalah login semua password diinput nyata keliru padahal benar ganggu transfer terlalu sering alami ganggu kami laku transaksi online saat ganggu jadi rasa sulit,Negative,Reliability
2024-07-17,sedia top up uang,Negative,Features and Promotion
2024-07-17,muat terlalu lama,Negative,Ease and Speed
2024-07-17,aplikasi ramah guna,Negative,UI/UX and Usability
2024-07-17,muat koneksi seringkali lama proses keluar aplikasi lalu tahap lebih sederhana,Negative,Ease and Speed
2024-07-17,biaya admin gratis seluruh bank,Positive,Fees and Rates
2024-07-17,sering tibatiba tampil saldo buat orang jantung,Negative,Reliability
2024-07-17,selalu tingkat layan maksimal selalu inovasi biar makin muas,Positive,Services
2024-07-17,banyak mesin atm,Negative,Services
2024-07-17,transfer gratis saja,Positive,Fees and Rates
2024-07-17,transfer admin gratis,Positive,Fees and Rates
2024-07-17,nomor rekening sudah simpan ada nama jadi kalau transfer susah,Negative,UI/UX and Usability
2024-07-17,bisa transaksi bayar kai jam kenapa,Negative,Features and Promotion
2024-07-17,bisa simpan nomor rekening tuju,Negative,UI/UX and Usability
2024-07-17,aplikasi begitu besar berat,Negative,Ease and Speed
2024-07-17,aplikasi kurang stabil,Negative,Reliability
2024-07-17,nomor rekening transfer favorit edit hapus tidak numpuk kalau tidak pakai,Negative,UI/UX and Usability
2024-07-17,aju kta selalu tolak walaupun gaji gaji lalu bank permata tahun,Negative,Services
2024-07-17,saldo tunggak terlalu besar,Negative,Fees and Rates
2024-07-17,suka error lambat,Negative,Ease and Speed
2024-07-17,terlalu sering baru aplikasi,Negative,Features and Promotion
2024-07-17,nama orang yang masuk aplikasi,Negative,Reliability
2024-07-17,semua lebih cepat,Positive,General
2024-07-17,biasa kadang cepat kadang lelet,Neutral,Ease and Speed
2024-07-17,buat lebih mudah tunjuk bukti transfer bank,Negative,Features and Promotion
2024-07-17,user friendly tms bukti transfer panjang bawah kertas boros kita cetak simpan,Negative,UI/UX and Usability
2024-07-17,gagal login buka rekening bangun user id password,Negative,Reliability
2024-07-17,kalau biaya transaksi online gratis,Negative,Fees and Rates
2024-07-17,moga bank permata makin jaya,Positive,General
2024-07-17,ada kota bengkulu,Negative,Services
2024-07-17,mudah kta payroll nasabah setia sudah punya agun gaji,Negative,Services
2024-07-17,kadang error pak,Negative,Reliability
2024-07-17,unit atm tarik tunai sedikit jumlah panjang tambah ke daerah biar mudah tarik tunai,Negative,Services
2024-07-17,akan sangat bagus mudah buka akun jenis visa apa pun hanya visa jepang,Negative,Services
2024-07-17,tingkat nyaman langgan,Positive,General
2024-07-17,permata mobile sering error sering update saat desak,Negative,Reliability
2024-07-17,gaji perlu banyak baik cepat promosi biaya,Negative,Fees and Rates
2024-07-17,atm ada setor tunai jadi kendala kalau setor ke bank sangat jauh demi administrasi sangat muas gratis transaksi saksi,Negative,Services
2024-07-17,berat lambat,Negative,Ease and Speed
2024-07-17,rekomendasi sekali luar biasa,Positive,General
2024-07-17,agar sesi muat terlalu lama,Negative,Ease and Speed
2024-07-17,walaupun sering error gratis transfer bank apa,Neutral,Reliability
2024-07-17,itu pribadi,Neutral,General
2024-07-17,enak lama transaksi,Negative,UI/UX and Usability
2024-07-17,aju kartu kredit kta selalu tolak ada alas jelas,Negative,Services
2024-07-17,jangan sering lambat,Negative,Ease and Speed
2024-07-17,acc kta demi bayar potong gaji,Negative,Services
2024-07-17,aku berapa kali aju kta pernah tuju aku lancar bayar,Negative,Services
2024-07-17,bangun jelek tidak praktis,Negative,UI/UX and Usability
2024-07-17,terkadang keluar minimal aplikasi,Negative,Reliability
2024-07-17,kadang qris ngelag,Negative,Features and Promotion
2024-07-17,cepat layan kasir,Positive,Services
2024-07-17,kalo sedang luar kota sering kali bisa guna,Negative,Reliability
2024-07-17,anda bangun terlalu banyak ubah bangun aplikasi jadi lebih rumit,Negative,UI/UX and Usability
2024-07-17,biaya transaksi gratis,Positive,Fees and Rates
2024-07-17,saldo potong tagih ubah,Negative,Reliability
2024-07-17,banyak mesin atm,Negative,Services
2024-07-17,biaya admin sangat baik sekali,Positive,Fees and Rates
2024-07-17,selalu gagal aju kta pinjam agun kta kasbon gagal terus,Negative,Services
2024-07-17,mobile x lambat sampai sekarang padahal update ganti handphone sudah lapor kcu dekat tidak solusi mungkin ditindaklanjuti layan konsumen makin baik terima kasih,Negative,Ease and Speed
2024-07-17,ramah tenang,Positive,General
2024-07-17,aman nyaman,Positive,General
2024-07-17,aju kta permata selalu tolak,Negative,Services
2024-07-17,aplikasi seluler lelet,Negative,Ease and Speed
2024-07-17,gratis biaya admin semua bank suka keluar selesai,Negative,Fees and Rates
2024-07-17,di loading cepet,Negative,Ease and Speed
2024-07-17,saldo ada sering error keluar nyata saldo cukup sangat hambat transaksi,Negative,Reliability
2024-07-17,bagus mudah,Positive,UI/UX and Usability
2024-07-17,kirim di kabul,Negative,Services
2024-07-17,ada komentar,Neutral,General
2024-07-17,jangan terlalu sering minta update,Negative,Reliability
2024-07-17,uang sering hapus tarik,Negative,Fees and Rates
2024-07-17,atm batas,Negative,Services
2024-07-17,puas permatamobile x,Positive,General
2024-07-17,sering jadi salah,Negative,Reliability
2024-07-17,lebih cepat metode transfer,Positive,Ease and Speed
2024-07-17,selalu utama puas langgan promo tarik,Positive,Features and Promotion
2024-07-17,fitur luar nominal transaksi,Neutral,Features and Promotion
2024-07-17,pinjam kta lagi proses belum cair,Negative,Services
2024-07-17,puas fasilitas permata e perban,Positive,General
2024-07-17,ada permata makin mudah perlu bayar makan tagian,Positive,Features and Promotion
2024-07-17,kalau transaksi selalu loading lambatperlu baik,Negative,Ease and Speed
2024-07-17,sangat manfaat cepat laku transaksi apa,Positive,Ease and Speed
2024-07-17,permata ponsel baik,Positive,General
2024-07-17,jgn sering update,Negative,Reliability
2024-07-17,lebih tingkat mutakhir,Negative,UI/UX and Usability
2024-07-17,kadang suka balik ke halaman awal,Negative,UI/UX and Usability
2024-07-17,mohon bila jadi pending refund otomatis biar tidak sulit lapor habisin pulsa pak,Negative,Services
2024-07-17,tidak suka promosi,Negative,Features and Promotion
2024-07-17,sering kendala bisa akses,Negative,Reliability
2024-07-17,mesin atm permata bantu banyak mall indomaret lotte transmart mudah cari mudah transaksi,Negative,Services
2024-07-17,rekening korang lama ada bunga deposito kecil,Negative,Fees and Rates
2024-07-17,layan langgan cabang baik cepat,Negative,Services
2024-07-17,jumlah atm sedikit,Negative,Services
2024-07-17,nasabah benar jujur kenapa banyak nasabah baik sulit masalah pinjam,Negative,Services
2024-07-17,suka lambat seperti aplikasi bca,Negative,Ease and Speed
2024-07-17,transfer bank tanpa kena biaya admin,Positive,Fees and Rates
2024-07-17,tampil nama kalau jngn nomor rek doang,Negative,Features and Promotion
2024-07-17,permata bank hormat bantu ekonomi nasabah yang lama guna bank utama modal usaha salam sukses selalu terima kasih,Negative,Services
2024-07-17,kait rincian tagih kta sisa bayar sisa tagih jelas conto shope rincian sisa tagih jelas mudah paham,Negative,Services
2024-07-17,aplikasi kurang cepat ada loading,Negative,Ease and Speed
2024-07-17,aju kta ada konfirmasi langsung cicil bisa ingin,Negative,Services
2024-07-17,cari atm susah di tempat tentu doang,Negative,Services
2024-07-17,terlalu lelet banyak loading,Negative,Ease and Speed
2024-07-17,loading kadang berat,Negative,Ease and Speed
2024-07-17,pu rekening megang kartu kredit ada ubah aju sangat sulit seperti bang,Negative,Services
2024-07-17,punya saldo kata saldo tidak cukup,Negative,Reliability
2024-07-17,potong jgn terlalu besar,Negative,Fees and Rates
2024-07-17,bagaimana cara bisa kta,Negative,Services
2024-07-17,sangat nyaman pakai bank permata,Positive,General
2024-07-17,kadang suka lambat,Negative,Ease and Speed
2024-07-17,tunjuk nama awal saat mentransfershingga menhindar kan slah transferslma h muncul nomor rek sudah rwayat transfer,Negative,Features and Promotion
2024-07-17,aplikasi lambat buka,Negative,Ease and Speed
2024-07-17,tingkat permata,Positive,General
2024-07-17,aplikasi berat kurang sederhana kurs valas muncul tampil harus transksi dulu tidak sprti bank lain,Negative,UI/UX and Usability
2024-07-17,dana tunai sulit aju,Negative,Services
2024-07-17,mudah transfer bisa bantu fitur kta,Positive,Features and Promotion
2024-07-17,cepat sering jadi salah,Negative,Reliability
2024-07-17,pinjeman kta jelas,Negative,Services
2024-07-17,semua baik,Positive,General
2024-07-17,sering error lambat login qris sering error,Negative,Reliability
2024-07-17,biaya transfer juga biaya bulan mohon mudah,Negative,Fees and Rates
2024-07-17,buat fitur rekening default transaksi langgan pu lebih dr rekening,Negative,Features and Promotion
2024-07-17,perlu tampil mewah sederhana praktis akses internet hemat data penting ringan mudah akses,Negative,Features and Promotion
2024-07-17,loadingny sangat lambat sekali,Negative,Ease and Speed
2024-07-17,kurang cepat proses isi bensin pakai qris shell,Negative,Features and Promotion
2024-07-17,sering ganggu,Negative,Reliability
2024-07-17,kode respons sms pernah,Negative,Reliability
2024-07-17,obat lebih detail terima kasih,Negative,Features and Promotion
2024-07-17,permata bank sangat bagus layan,Positive,Services
2024-07-17,kondisi jepit finansial bp andal saya sangat tolong,Positive,Services
2024-07-17,obrol daring manajer dukung,Positive,Services
2024-07-17,lanjut kerja baik,Positive,General
2024-07-17,verifikasi kadang sulit apabila ganti handphone,Negative,Features and Promotion
2024-07-17,ui ux buruk semua aplikasi perban,Negative,Features and Promotion
2024-07-18,terlalu banyak pegawai maling tempat,Negative,Services
2024-07-18,sering error keluar pas guna,Negative,Reliability
2024-07-18,kurang praktis msh ribet buat nyari nyari fitur,Negative,Features and Promotion
2024-07-18,demi alternatif transaksi non tunai,Positive,Features and Promotion
2024-07-18,jangan sering sering error,Negative,Reliability
2024-07-18,aplikasi harus update obat real time kalau buka tutup deposito obat langsung ubah,Negative,Features and Promotion
2024-07-18,tampil anggap lebih tarik funsional egronomi,Negative,Features and Promotion
2024-07-18,aplikasi sering error ngehang,Negative,Reliability
2024-07-18,jaring suka susah,Negative,General
2024-07-18,mesin atm kurang,Negative,Services
2024-07-18,privasi akun moga aman,Positive,General
2024-07-18,layan bagus,Negative,Services
2024-07-18,gratis transfer semua bank guna qris permata dana cepat masup tiap hari modal putar,Positive,Fees and Rates
2024-07-18,mas suka error iphone,Negative,Reliability
2024-07-18,suka bisa ambil tunai gratis indomaret atm syg terkadang idm bilang bisa tidak akses fingertok uang ga dan bagai alasantolong janji idm jelas,Negative,Services
2024-07-18,tarik tunai indomaret sering kali masalah tugas finger print ada jadi sulit tarik tunai indomaret,Negative,Services
2024-07-18,perlu daftar akun,Positive,Features and Promotion
2024-07-18,oke banget permata,Positive,General
2024-07-18,sedia atm tambah spy lbh mudah,Negative,Services
2024-07-18,kadang bukti transfer lambat masukkadang tunggu hari mobile x,Negative,Features and Promotion
2024-07-18,ada spesial apps,Negative,Features and Promotion
2024-07-18,kerja terlalu lambat,Negative,Ease and Speed
2024-07-18,tampil kalau lebih baik jangan lambat terima kasih,Negative,Features and Promotion
2024-07-18,suka error ingin qris,Negative,Reliability
2024-07-18,top up etoll,Negative,Features and Promotion
2024-07-18,ada status d permatacasbon kalau d tolak kasih info jngn lgi proses terus,Negative,Services
2024-07-18,waktu login terlalu cepat akhir,Negative,Features and Promotion
2024-07-18,rm garansi ramah,Positive,Services
2024-07-18,mohon banyak atm permata,Negative,Services
2024-07-18,kalau malam mbank suka error,Negative,Reliability
2024-07-18,sering error slalu aju top up kta gk pernah setujuin kalau memang tuju baru rekomendasi temen,Negative,Services
2024-07-18,terlalu banyak masalah,Negative,Reliability
2024-07-18,lelet pindah menu,Negative,Ease and Speed
2024-07-18,iya pakai bank permata baik karena gratis transfer semua rekening,Positive,Fees and Rates
2024-07-18,cepat kalau tanpa animasi jadi langsung muncul,Negative,UI/UX and Usability
2024-07-18,semua kota wakil bank,Negative,Services
2024-07-18,cepat mudah guna biaya transfer gratis,Positive,Fees and Rates
2024-07-18,guna transfer kurang sederhana simpan nomor rekening harus manual,Negative,Features and Promotion
2024-07-18,fasilitas perlu tambah bisa mudah transaksi,Negative,Features and Promotion
2024-07-18,aplikasi terlalu banyak slide keluar,Negative,UI/UX and Usability
2024-07-18,aplikasi rumit di operasi,Negative,UI/UX and Usability
2024-07-18,layan muas konsumen,Positive,Services
2024-07-18,cara henti notifikasi email login aplikasi,Negative,Features and Promotion
2024-07-18,atm sulit temu,Negative,Services
2024-07-18,lebih baik,Negative,General
2024-07-18,tampil nama milik rekening daftar transfer yang ini tampil daftar nomor rekening makan waktu lama cari nama milik rek terima kasih,Negative,Features and Promotion
2024-07-18,cepat muat transaksi,Negative,Ease and Speed
2024-07-18,jangan sering error tidak buka aplikasi,Negative,Reliability
2024-07-18,sulit ngajuin kta susah banyak syarat arti kredit agun tetep syarat masuk lebih baik ga usah kta biar orang giur,Negative,Services
2024-07-18,struk fif adira tambah deposit bulan berapa aplikasi lebih ringan,Negative,Services
2024-07-18,bayar bulan ga transparan dalam aplikasi permata,Negative,Services
2024-07-18,n bangking permata lemottolong baik dri part cepat,Negative,Ease and Speed
2024-07-18,log out terlalu cepat,Negative,UI/UX and Usability
2024-07-18,aplikasi stabil mudah akses kapan selagi sering ganggu sulit di akses,Negative,Reliability
2024-07-18,login terlalu lama,Negative,Ease and Speed
2024-07-18,mungkin tambah nama milik rekening rekening pernah transfer,Negative,Features and Promotion
2024-07-18,aplikasi lemott sangat di tingkat kualitas aplikasi,Negative,Ease and Speed
2024-07-18,kurang cepat bikin llebh cppat efisien,Negative,Ease and Speed
2024-07-18,tulis nama samping nomor rekening bank laku transfer bingung guna kita periksa satu per satu nomor rekening benar ingin kita transfer,Negative,Features and Promotion
2024-07-18,etik pin mungkin lihat apa kita ketik,Negative,Features and Promotion
2024-07-18,semua layan baik tingkat layan,Positive,General
2024-07-18,saldo jangan muncul saat transfer jadi lihat org samping guna,Negative,UI/UX and Usability
2024-07-18,promo pinjam sering dongsaya tunggu,Negative,Features and Promotion
2024-07-18,terkadang berat buka aplikasi,Negative,Ease and Speed
2024-07-18,lagu lebih cepat mudah,Positive,Ease and Speed
2024-07-18,moga permata makin berkembangbanyak nyaman pelangganaman,Positive,General
2024-07-18,aplikasi lambat bayar qris sering masalah,Negative,Ease and Speed
2024-07-18,sering update transaksi kulit sering bisa lihat,Negative,Reliability
2024-07-18,pernah lolos,Negative,Services
2024-07-18,masuk lelet terlalu banyak pilih biaya transfer gratis bank,Negative,Ease and Speed
2024-07-18,sering error,Negative,Reliability
2024-07-18,layan cepattransfer kena biaya,Positive,Fees and Rates
2024-07-18,susah sampe skrg blom login handphone pas ganti handphone,Negative,UI/UX and Usability
2024-07-18,jangan sering update,Negative,Reliability
2024-07-18,sistem real time utama kartu kredit suka error gk transaksi,Negative,Reliability
2024-07-18,coba buka akun beberapa kali gagal,Negative,Services
2024-07-18,tingkat aman akun,Positive,UI/UX and Usability
2024-07-18,sering tolak aju kta,Negative,Services
2024-07-18,kalo cantum histori nomor reknama sama bank saat transfer,Negative,Features and Promotion
2024-07-18,fitur sederhana mudah,Positive,Features and Promotion
2024-07-18,adakan menu guna top up e tol kemudian nominal isi pulsa pecah lebih banyak,Positive,Features and Promotion
2024-07-18,lambat sekali bangking,Negative,Ease and Speed
2024-07-18,sering tolak kta,Negative,Services
2024-07-18,aku suka permata,Positive,General
2024-07-18,pernah jelas,Negative,General
2024-07-18,sering jadi ganggu transaksi,Negative,Reliability
2024-07-18,aplikasi suka lambat padahal mobile banking lain handphone lancar lancar,Negative,Ease and Speed
2024-07-18,ui nya cepat,Negative,UI/UX and Usability
2024-07-18,ada layan langgan komunikasi langsung,Negative,Services
2024-07-18,terlalu banyak email spam hari terlalu banyak masalah sering dapat bagi bukti bayar layan sedia yang buruk juta email kotak surat terus penuh,Negative,Reliability
2024-07-18,biaya bulan navigator terlalu besar,Negative,Fees and Rates
2024-07-18,link kan bayar kartu kredit sendiri jumlah rupiah bisa langsung keluar lebih banyak,Positive,Features and Promotion
2024-07-18,beberapa kali transfer rekening debet tuju transfer terima uang harus urus bank,Negative,Reliability
2024-07-18,sudah pernah sampai langsung orang kata developer permata mobile aplikasi berat padahal jaring sangat bagus juga tombol back biasa pakai smartphone tidak fungsi aplikasi,Negative,UI/UX and Usability
2024-07-18,waktu login terlalu singkat tiap kali login notifikasi ganggu,Negative,UI/UX and Usability
2024-07-18,respon kendala jadi,Neutral,Services
2024-07-18,kapan lagi pinjam kta,Neutral,Services
2024-07-18,dapat saldo minimum permata bebas,Negative,Fees and Rates
2024-07-18,bayar qris suka lama,Negative,Ease and Speed
2024-07-18,bayar qris suka lama kasir sering tunggu lama qris lambat,Negative,Ease and Speed
2024-07-18,bayar qris suka lama kasir sering tunggu lama qris lambat terima kasih,Negative,Ease and Speed
2024-07-18,sangat bagus saya,Positive,General
2024-07-18,aplikasi jangan terlalu sering minta update baru,Negative,Reliability
2024-07-18,lebih mudah aju kta cepat proses acc,Positive,Services
2024-07-18,kalau buka aplikasi suka kluar sendiribikin males,Negative,Reliability
2024-07-18,tambah fitur tabung emas,Positive,Features and Promotion
2024-07-18,terlalu sedikit kc,Negative,Services
2024-07-18,layan baik,Positive,General
2024-07-18,guna keranjang transaksi permatanet selalu error tuju transaksi permatamobilex saya sudah uninstall unlink install ulang relink sampai sekarang masih tidak bisa guna permatanet permatamobilex saya,Negative,Reliability
2024-07-18,semua baik tingkat aman sistem,Positive,General
2024-07-18,pilih opsi isi pulsa lebih sedikit banding aplikasi bangking misal kartu smartfren minimal cuma,Negative,Features and Promotion
2024-07-18,mobile perban satset,Negative,Ease and Speed
2024-07-18,riwayat hidup xx,Neutral,General
2024-07-18,kta pernah acc,Negative,Services
2024-07-18,aplikasi kurang cepat,Negative,Ease and Speed
2024-07-18,sering ganggu sama biaya skrg transfer bank,Negative,Fees and Rates
2024-07-18,suka error banyak gaya suka error cape deh panjang intensitas error perhati,Negative,Reliability
2024-07-18,jam telpon permata aju dana angsur dana blm masuk sekarang,Negative,Services
2024-07-18,tampil mobile perban terlalu kaku kurang alam,Negative,Features and Promotion
2024-07-18,lancar dari part pindah halaman tunda lama muat data akan tampil halaman lanjut ram handphone saya betul gb saya rasa ada tampil data tak lihat,Negative,Ease and Speed
2024-07-18,kasih terang ada kembali refund transaksi apa dari siapa jangan kasih kode koe tidak ngarti simpel ajah,Negative,Features and Promotion
2024-07-18,biaya navigator hapus kurang,Negative,Fees and Rates
2024-07-18,terlalu banyak langkah,Negative,UI/UX and Usability
2024-07-18,terus transfer bank bca jumlah uang blm msk sampe sekarang mutasi muncul tidak uang,Negative,Reliability
2024-07-19,kasih nama milik rek belah norek,Negative,Features and Promotion
2024-07-19,pu kartu kredit selalu potong,Negative,Fees and Rates
2024-07-19,lapor nasabah direspon baik bahkan ada tindak lanjut,Negative,Services
2024-07-19,banyak update tan jadi gemes rasa,Negative,Reliability
2024-07-19,lihat passport sulit terkadang sering keliru pencet lihat susah,Negative,UI/UX and Usability
2024-07-19,update aplikasi mudah digunakandan ribet,Negative,UI/UX and Usability
2024-07-19,pinjam kalau g masuk terbit usah cairin sama sekali profesional minimal konfirmasi langgan,Negative,Services
2024-07-19,sangat bantu mudah transaksi mantap,Positive,General
2024-07-19,susah x ngajuin kta,Negative,Services
2024-07-19,bisa pinjam,Negative,Services
2024-07-19,layan tingkat,Negative,Services
2024-07-19,buka aplikasi lambat,Negative,Ease and Speed
2024-07-19,isi ulang token listrik kalau selai full,Positive,Features and Promotion
2024-07-19,atm tambah,Negative,Services
2024-07-19,apps sering error khusus guna qris akhir saya harus guna bank apps lain mohon pasti apps selalu kerja baik terima kasih,Negative,Reliability
2024-07-19,mesin setor tunai mohon sedia kalo setor harus bank di jam kerja,Positive,Services
2024-07-19,fitur buat bayar bpjs sehat ada,Negative,Features and Promotion
2024-07-19,perlu nama milik rekening daftar nomor rekening orang yang simpan daftar rekening proses transfer,Negative,Features and Promotion
2024-07-19,lihat semua harga bond baru saya tidak dapat temu menu jual semua,Negative,Features and Promotion
2024-07-19,kurang atm sekitar di kota kecil,Negative,Services
2024-07-19,sulit banget buat kartu debit aj proses ribet lempar terus cepet kaya bank kalo patroli males pake permata tlp cs suruh transaksi transaksi blm bisa cetak pin mobile binggung masalah kartu debit aj sulit banget,Negative,Services
2024-07-19,tombol ke menu via handphone bukan tanda panah navigasi antar muka sangat lambat bayar qris guna kartu kredit blm bisa mohon baik,Negative,UI/UX and Usability
2024-07-19,fitur mudah di cepat,Positive,Features and Promotion
2024-07-19,sinyal koq lelet bgtlama mutar terus,Negative,Ease and Speed
2024-07-19,susah setor tunai ke bank mesin atm banyak,Negative,Services
2024-07-19,satpam sangat bantu,Positive,Services
2024-07-19,apliksai terlalu lambat waktu buka alih menu aplikasi,Negative,Ease and Speed
2024-07-19,semenjak diruba ribet,Negative,UI/UX and Usability
2024-07-19,tingkat semangat,Positive,General
2024-07-19,baru alami tagih kk netflix bukan yang daftar jadi ini proses lapor bank permata,Negative,Services
2024-07-19,tiap bulan update fitur sama ngabisin memori doang,Negative,Reliability
2024-07-19,di update makin ribet bagus belum,Negative,UI/UX and Usability
2024-07-19,kalo baru sistem suka ristat jadi login ulang,Negative,Reliability
2024-07-19,lambat sinyal sekarang biaya transfer,Negative,Fees and Rates
2024-07-19,transfer gratis saja,Positive,Fees and Rates
2024-07-19,mesin atm mohon tambah,Negative,Services
2024-07-19,sering update obat kalau hari libur padahal transaksi dagang sangat sulit kalo itu,Negative,Reliability
2024-07-19,nasabah permata kta susah sekali beda bank tolong mudah nasabah permata trims,Negative,Services
2024-07-19,tarik tunai atm batas,Negative,Services
2024-07-19,usahain transfer semua gratis selamanyajaya permata,Positive,Fees and Rates
2024-07-19,nomor rekening tampil nama mudah pilih ingin transfer,Negative,Features and Promotion
