Date,Feedback,Sentiment,App Related,Key Theme,Specific Themes,,,,,
7/17/2024 14:17,good,Positive,No,General,General Positive Feedback,,,,,
7/17/2024 14:18,tolong loading nya di cepetin,Negative,Yes,Ease and Speed,Slow Application,,,,,
7/17/2024 14:19,saldo masih ada tapi sering eror dan keluar pernyataan SALDO TIDAK CUKUP. sangat menghambat transaksi,Negative,Yes,Reliability,Errors in Account Information,,,,,
7/17/2024 14:25,good n easy,Positive,Yes,UI/UX and Usability,User Friendly,,,,,
7/17/2024 14:28,tolong pengajuan saya di kabulkan,Negative,No,Services,Loan Application Rejected,,,,,
7/17/2024 14:42,mantap,Positive,No,General,General Positive Feedback,,,,,
7/17/2024 14:55,no comment,Neutral,No,General,No Actionable Feedback,,,,,
7/17/2024 14:58,jangan terlalu sering minta update,Negative,Yes,Reliability,Updates Too Common,,,,,
7/17/2024 14:59,uang saya sering hilang ketarik...,Negative,Yes,Fees and Rates,"Unclear Charges, Missing Transactions",,,,,
7/17/2024 15:00,ATM nya masih terbatas,Negative,No,Services,ATM Hard to Find,,,,,
7/17/2024 15:09,puas dengan permataMobile X,Positive,Yes,General,General Positive Feedback,,,,,
7/17/2024 15:14,sering eror,Negative,Yes,Reliability,Errors in Application,,,,,
7/17/2024 15:23,bagus,Positive,No,General,General Positive Feedback,,,,,
7/17/2024 15:27,lelet buka aplikasinya,Negative,Yes,Ease and Speed,Slow Application,,,,,
7/17/2024 15:28,keamanan,Neutral,Yes,General,General Security Feedback,,,,,
7/17/2024 15:31,lebih cepat dalam metode transfer,Positive,Yes,Ease and Speed,Fast Transfers,,,,,
7/17/2024 15:34,sangat bermanfaat,Positive,No,General,General Positive Feedback,,,,,
7/17/2024 15:53,mantap,Positive,No,General,General Positive Feedback,,,,,
7/17/2024 15:54,sangat baik,Positive,No,General,General Positive Feedback,,,,,
7/17/2024 15:55,keseringan update,Negative,Yes,Reliability,Updates Too Common,,,,,
7/17/2024 15:57,agak lemot,Negative,Yes,Ease and Speed,Slow Application,,,,,
7/17/2024 15:57,atmnya terbatas,Negative,No,Services,ATM Hard to Find,,,,,
7/17/2024 15:58,ok,Neutral,No,General,No Actionable Feedback,,,,,
7/17/2024 15:58,"selalu mengutamakan kepuasan pelanggan, dan promo menarik",Positive,No,Features and Promotion,"Good Customer Satisfaction, Promotions",,,,,
7/17/2024 16:01,good,Positive,No,General,General Positive Feedback,,,,,
7/17/2024 16:03,lama,Negative,Yes,Ease and Speed,Slow Application,,,,,
7/17/2024 16:03,fitur in out nominal transaksi,Neutral,Yes,Features and Promotion,Transaction Features,,,,,
7/17/2024 16:03,bagus,Positive,No,General,General Positive Feedback,,,,,
7/17/2024 16:05,"pinjaman KTA saya lagi di proses, tapi belum cair",Negative,No,Services,Loan Delayed,,,,,
7/17/2024 16:07,puas dengan fasilitas permata e banking,Positive,Yes,General,General Positive Feedback,,,,,
7/17/2024 16:10,good,Positive,No,General,General Positive Feedback,,,,,
7/17/2024 16:13,Udah bagus,Positive,No,General,General Positive Feedback,,,,,
7/17/2024 16:14,dengan adanya permata saya semakin mudah keperluan bayar makan dan tagian,Positive,Yes,Features and Promotion,Easy Payments,,,,,
7/17/2024 16:28,klao mau transaksi selalu loding lambat..perlu di perbaiki,Negative,Yes,Ease and Speed,Slow Application,,,,,
7/17/2024 16:29,sangat bermanfaat dan cepat melakukan transaksi apapun,Positive,Yes,Ease and Speed,Fast Transactions,,,,,
7/17/2024 16:33,the best permata mobile,Positive,Yes,General,General Positive Feedback,,,,,
7/17/2024 16:40,sudah bagus,Positive,No,General,General Positive Feedback,,,,,
7/17/2024 16:43,Mantap,Positive,No,General,General Positive Feedback,,,,,
7/17/2024 16:46,jgn keseringan update,Negative,Yes,Reliability,Updates Too Common,,,,,
7/17/2024 16:50,ok,Neutral,No,General,No Actionable Feedback,,,,,
7/17/2024 16:55,lebih di tingkatkan kemutakhirannya,Negative,Yes,UI/UX and Usability,Application Updates Needed,,,,,
7/17/2024 16:56,kadang suka balik lagi ke halaman awal,Negative,Yes,UI/UX and Usability,Navigation Issues,,,,,
7/17/2024 16:58,mohon bila terjadi pending. Refund otomatiskan kembali biar kami tdk repot lapor. habisin pulsa pak,Negative,Yes,Services,"Failed Transactions, Refund Issues",,,,,
7/17/2024 17:00,jooos,Positive,No,General,General Positive Feedback,,,,,
7/17/2024 17:02,bagus,Positive,No,General,General Positive Feedback,,,,,
7/17/2024 17:10,saya tidak suka promosi,Negative,No,Features and Promotion,Unwanted Promotions,,,,,
7/17/2024 17:14,"sering kendala, tidak bisa akses",Negative,Yes,Reliability,Access Issues,,,,,
7/17/2024 17:15,baik,Positive,No,General,General Positive Feedback,,,,,
7/17/2024 17:43,bagus,Positive,No,General,General Positive Feedback,,,,,
